"Phase","Title","Id"
"Program","RetroScreen v1.0 implementation program","AmigaXenon-5qx"
"Phase 0","Phase 0: Foundation and prerequisites","AmigaXenon-5qx.1"
"Phase 1","Phase 1: Emulator core proof of concept","AmigaXenon-5qx.2"
"Phase 2","Phase 2: Unreal Engine integration","AmigaXenon-5qx.3"
"Phase 3","Phase 3: Input and interaction flow","AmigaXenon-5qx.4"
"Phase 4","Phase 4: Art, environment, and CRT presentation","AmigaXenon-5qx.5"
"Phase 5","Phase 5: Polish, configuration, and release prep","AmigaXenon-5qx.6"
"Phase 0","Install and verify Unreal Engine 5.4+ C++ toolchain","AmigaXenon-5qx.1.1"
"Phase 0","Obtain and verify PUAE libretro core DLL","AmigaXenon-5qx.1.2"
"Phase 0","Prepare legal Kickstart ROM test asset","AmigaXenon-5qx.1.3"
"Phase 0","Prepare baseline Amiga ADF test suite","AmigaXenon-5qx.1.4"
"Phase 0","Define architecture and coding conventions","AmigaXenon-5qx.1.5"
"Phase 1","Create standalone C++ libretro harness","AmigaXenon-5qx.2.1"
"Phase 1","Implement libretro environment callback","AmigaXenon-5qx.2.2"
"Phase 1","Implement libretro video callback","AmigaXenon-5qx.2.3"
"Phase 1","Implement libretro audio callback","AmigaXenon-5qx.2.4"
"Phase 1","Implement libretro input callbacks","AmigaXenon-5qx.2.5"
"Phase 1","Load Kickstart and ADF into harness","AmigaXenon-5qx.2.6"
"Phase 1","Capture timing and CPU metrics","AmigaXenon-5qx.2.7"
"Phase 1","Document Phase 1 benchmark results","AmigaXenon-5qx.2.8"
"Phase 2","Create RetroScreen UE5 C++ module scaffolding","AmigaXenon-5qx.3.1"
"Phase 2","Implement ARetroScreenManager lifecycle actor","AmigaXenon-5qx.3.2"
"Phase 2","Run emulator core on FRunnableThread","AmigaXenon-5qx.3.3"
"Phase 2","Implement double-buffered video bridge","AmigaXenon-5qx.3.4"
"Phase 2","Upload frames to UTexture2DDynamic","AmigaXenon-5qx.3.5"
"Phase 2","Create baseline screen material and test plane","AmigaXenon-5qx.3.6"
"Phase 2","Implement procedural audio bridge with SPSC ring buffer","AmigaXenon-5qx.3.7"
"Phase 2","Profile integration performance and optimize hotspots","AmigaXenon-5qx.3.8"
"Phase 3","Implement URetroScreenInputBridge core","AmigaXenon-5qx.4.1"
"Phase 3","Author Enhanced Input contexts for two modes","AmigaXenon-5qx.4.2"
"Phase 3","Build cabinet interaction and camera transition flow","AmigaXenon-5qx.4.3"
"Phase 3","Implement pause and return-to-room flow","AmigaXenon-5qx.4.4"
"Phase 3","Add mouse confinement and cursor policy","AmigaXenon-5qx.4.5"
"Phase 3","Implement gamepad mapping and analog-to-digital conversion","AmigaXenon-5qx.4.6"
"Phase 3","Implement runtime INI configuration reader","AmigaXenon-5qx.4.7"
"Phase 3","Validate input compatibility across game archetypes","AmigaXenon-5qx.4.8"
"Phase 4","Create or source arcade cabinet hero asset","AmigaXenon-5qx.5.1"
"Phase 4","Author cabinet UVs and material slots","AmigaXenon-5qx.5.2"
"Phase 4","Implement CRT material core effects","AmigaXenon-5qx.5.3"
"Phase 4","Expose CRT parameters via dynamic material instance","AmigaXenon-5qx.5.4"
"Phase 4","Build arcade room environment layout","AmigaXenon-5qx.5.5"
"Phase 4","Implement lighting with emissive CRT contribution","AmigaXenon-5qx.5.6"
"Phase 4","Add environmental audio layers","AmigaXenon-5qx.5.7"
"Phase 4","Add screen-linked supplementary rect light","AmigaXenon-5qx.5.8"
"Phase 5","Build pause and settings UMG interface","AmigaXenon-5qx.6.1"
"Phase 5","Implement first-launch setup and missing ROM guidance","AmigaXenon-5qx.6.2"
"Phase 5","Implement gamepad remapping user flow","AmigaXenon-5qx.6.3"
"Phase 5","Execute broad compatibility test matrix","AmigaXenon-5qx.6.4"
"Phase 5","Run performance and memory optimization pass","AmigaXenon-5qx.6.5"
"Phase 5","Write end-user README and legal disclaimer","AmigaXenon-5qx.6.6"
"Phase 5","Package distributable build with empty EmulatorData","AmigaXenon-5qx.6.7"
"Phase 5","Complete internal QA and release readiness review","AmigaXenon-5qx.6.8"
